id,axis,pipeline_noise,slope_ortho,slope_persp1m,crossover_deg_ortho,crossover_deg_persp1m
nasal_dorsal_deviation,yaw,0.007758192760527227,0.7908829548210008,0.7951761635505463,0.009809533399645874,0.009756571079653682
nasal_dorsal_deviation,pitch,0.007758192760527227,0.0,0.0,,
nasal_dorsal_deviation,roll,0.007758192760527227,0.0,0.02824457312933575,,0.27467905869922005
alar_base_intercanthal_ratio,yaw,0.00038668926549535406,1.2688263138573217e-17,4.23519689303313e-05,30476138559878.33,9.130372808202972
alar_base_intercanthal_ratio,pitch,0.00038668926549535406,0.0,0.0008727453588172837,,0.44307226797445576
alar_base_intercanthal_ratio,roll,0.00038668926549535406,1.2688263138573217e-17,0.0,30476138559878.33,
nasal_tip_rotation,yaw,0.03725824680705172,0.039856685255061565,0.05144311767039476,0.9348054553111674,0.7242610575387743
nasal_tip_rotation,pitch,0.03725824680705172,1.0000000000000022,1.0000000000000022,0.037258246807051636,0.037258246807051636
nasal_tip_rotation,roll,0.03725824680705172,0.039599113156869946,0.03950598770815113,0.9408858895262376,0.9431037918174707
midface_projection,yaw,0.0010167631739717842,0.0015192246987791869,0.0015157475214571114,0.6692645102392234,0.6707998262100763
midface_projection,pitch,0.0010167631739717842,0.1258949288085245,0.1258949288085245,0.008076283799470547,0.008076283799470547
midface_projection,roll,0.0010167631739717842,0.0,0.003080347034554687,,0.33008072225822227
chin_height,yaw,0.0003324820195489259,8.227811774221476e-06,0.0001132863950835433,40.409531558636765,2.9348803914515624
chin_height,pitch,0.0003324820195489259,3.2805618450787127e-17,3.2805618450787127e-17,10134910885697.643,10134910885697.643
chin_height,roll,0.0003324820195489259,0.0015108706577852907,0.0027734011970117103,0.22005988258206996,0.11988241005562746
labiomental_sulcus_depth,yaw,0.001199131523778967,0.0010868364004704473,0.0010805690601397404,1.1033229318229605,1.1097222454471296
labiomental_sulcus_depth,pitch,0.001199131523778967,0.007150219080402968,0.007150219080402968,0.16770556402467418,0.16770556402467418
labiomental_sulcus_depth,roll,0.001199131523778967,0.0004487080102709164,0.0017063241519554694,2.6724094429581666,0.7027571651053212
ramus_body_ratio_l,yaw,0.00019178538270863787,0.02113867205525124,0.016407744544273736,0.009072726148897078,0.011688710912772623
ramus_body_ratio_l,pitch,0.00019178538270863787,0.0,0.0005245336387042327,,0.36563028289741273
ramus_body_ratio_l,roll,0.00019178538270863787,0.006459807942139652,0.007328467398917534,0.029689022402284257,0.02616991688288958
ramus_body_ratio_r,yaw,0.00019178538270863787,0.02113867205525124,0.026070809013588863,0.009072726148897078,0.007356326480266637
ramus_body_ratio_r,pitch,0.00019178538270863787,0.0,0.00076427244819502,,0.25093850126558515
ramus_body_ratio_r,roll,0.00019178538270863787,0.006459807942139652,0.004403641809388579,0.029689022402284257,0.04355154006843853
